IP:192.168.100.21        MAC:00-19-99-b4-c2-ae
IP:192.168.100.22        MAC:00-19-99-ae-a8-8e
IP:192.168.100.23        MAC:00-19-99-b5-e9-9b
IP:192.168.100.24        MAC:00-19-99-b4-a2-ed
IP:192.168.100.25        MAC:00-19-99-ad-4f-51
IP:192.168.100.26        MAC:00-19-99-dc-52-80
IP:192.168.100.27        MAC:00-19-99-b4-a2-fb
IP:192.168.100.28        MAC:00-19-99-b2-b3-e6
IP:192.168.100.29        MAC:00-19-99-ae-a5-59
IP:192.168.100.30        MAC:00-19-99-dc-52-77
IP:192.168.100.31        MAC:00-19-99-ac-b8-11
IP:192.168.100.32        MAC:00-19-99-b5-e9-4d
